fill	x	y	group
#F8EFEE	48098.5	3	155
#F8EFEE	48098	2.5	155
#FEFDFD	48098	3.5	156
#FEFDFD	48098.5	4	156
#FEFDFD	48099	3.5	156
#FEFDFD	48098.5	3	156
#FBF7F6	48098.5	4	157
#FBF7F6	48099	4.5	157
#FBF7F6	48099.5	4	157
#FBF7F6	48099	3.5	157
#FBF6F5	48099	4.5	158
#FBF6F5	48099.5	5	158
#FBF6F5	48100	4.5	158
#FBF6F5	48099.5	4	158
#FCF8F7	48099.5	5	159
#FCF8F7	48100	5.5	159
#FCF8F7	48100.5	5	159
#FCF8F7	48100	4.5	159
#EDD7D4	48100	5.5	160
#EDD7D4	48100.5	6	160
#EDD7D4	48101	5.5	160
#EDD7D4	48100.5	5	160
#F7EDEB	48100.5	6	161
#F7EDEB	48101	6.5	161
#F7EDEB	48101.5	6	161
#F7EDEB	48101	5.5	161
#FEFCFB	48101	6.5	162
#FEFCFB	48101.5	7	162
#FEFCFB	48102	6.5	162
#FEFCFB	48101.5	6	162
#F8EFED	48101.5	7	163
#F8EFED	48102	7.5	163
#F8EFED	48102.5	7	163
#F8EFED	48102	6.5	163
#FFFFFF	48102	7.5	164
#FFFFFF	48102.5	8	164
#FFFFFF	48103	7.5	164
#FFFFFF	48102.5	7	164
#FEFDFD	48102.5	8	165
#FEFDFD	48103	8.5	165
#FEFDFD	48103.5	8	165
#FEFDFD	48103	7.5	165
#FEFDFE	48103	8.5	166
#FEFDFE	48103.5	9	166
#FEFDFE	48104	8.5	166
#FEFDFE	48103.5	8	166
#FCF7F7	48103.5	9	167
#FCF7F7	48104	9.5	167
#FCF7F7	48104.5	9	167
#FCF7F7	48104	8.5	167
#FDFAFA	48104	9.5	168
#FDFAFA	48104.5	10	168
#FDFAFA	48105	9.5	168
#FDFAFA	48104.5	9	168
#F8EEED	48104.5	10	169
#F8EEED	48105	10.5	169
#F8EEED	48105.5	10	169
#F8EEED	48105	9.5	169
#FDFBFB	48105	10.5	170
#FDFBFB	48105.5	11	170
#FDFBFB	48106	10.5	170
