fill	y	x	group	xmin	xmax	ymin	ymax
#FFFFFF	9	-2.25	-1	-2.375	-2.125	8.5	9.5
#FFFFFF	11	-2.5	-1	-2.625	-2.375	10.5	11.5
#FFFFFF	20	-1.75	-1	-1.875	-1.625	19.5	20.5
#DEDEDE	21	-2	-1	-2.125	-1.875	20.5	21.5
#FFFFFF	17	-2	-1	-2.125	-1.875	16.5	17.5
#FFFFFF	14	-2	-1	-2.125	-1.875	13.5	14.5
#FFFFFF	15	-2.5	-1	-2.625	-2.375	14.5	15.5
#DEDEDE	10	-1.75	-1	-1.875	-1.625	9.5	10.5
#CCCCCC	18	-1.5	-1	-1.625	-1.375	17.5	18.5
#FFFFFF	13	-1.5	-1	-1.625	-1.375	12.5	13.5
#FFFFFF	17	-1.75	-1	-1.875	-1.625	16.5	17.5
#DEDEDE	21	-1.25	-1	-1.375	-1.125	20.5	21.5
#FFFFFF	19	-2	-1	-2.125	-1.875	18.5	19.5
#FFFFFF	21	-2.25	-1	-2.375	-2.125	20.5	21.5
#DEDEDE	15	-1.75	-1	-1.875	-1.625	14.5	15.5
#DEDEDE	16	-2	-1	-2.125	-1.875	15.5	16.5
#FFFFFF	21	-1.5	-1	-1.625	-1.375	20.5	21.5
#FFFFFF	24	-1.75	-1	-1.875	-1.625	23.5	24.5
#FFFFFF	23	-2	-1	-2.125	-1.875	22.5	23.5
#CCCCCC	17	-1.25	-1	-1.375	-1.125	16.5	17.5
#CCCCCC	12	-1.25	-1	-1.375	-1.125	11.5	12.5
#FFFFFF	19	-1.25	-1	-1.375	-1.125	18.5	19.5
